Estado,Total,afro
Aguascalientes,372,30495
Baja California,7169,90708
Baja California Sur,1572,35260
Campeche,11931,28012
Coahuila,581,65826
Colima,1222,18464
Chiapas,618973,83478
Chihuahua,39280,85956
Ciudad de México,9837,259277
Durango,22874,26386
Guanajuato,3614,150997
Guerrero,196301,367583
Hidalgo,80539,65179
Jalisco,20109,193671
México,40639,422774
Michoacán,43640,102849
Morelos,6309,51439
Nayarit,29549,15367
Nuevo León,7529,130245
Oaxaca,317590,238740
Puebla,143454,157547
Querétaro,5398,59723
Quintana Roo,25310,70784
San Luis Potosí,61466,73314
Sinaloa,7675,57198
Sonora,9717,59163
Tabasco,20132,52093
Tamaulipas,1202,62809
Tlaxcala,3228,26544
Veracruz,160711,284262
Yucatán,70412,88567
Zacatecas,1659,23738
