Estado,Total,,,
Aguascalientes,372,,,
Baja California,7169,,,
Baja California Sur,1572,,,
Campeche,11931,,,
Coahuila,581,,,
Colima,1222,,,
Chiapas,618973,,,
Chihuahua,39280,,,
Ciudad de México,9837,,,
Durango,22874,,,
Guanajuato,3614,,,
Guerrero,196301,,,
Hidalgo,80539,,,
Jalisco,20109,,,
México,40639,,,
Michoacán,43640,,,
Morelos,6309,,,
Nayarit,29549,,,
Nuevo León,7529,,,
Oaxaca,317590,,,
Puebla,143454,,,
Querétaro,5398,,,
Quintana Roo,25310,,,
San Luis Potosí,61466,,,
Sinaloa,7675,,,
Sonora,9717,,,
Tabasco,20132,,,
Tamaulipas,1202,,,
Tlaxcala,3228,,,
Veracruz,160711,,,
Yucatán,70412,,,
Zacatecas,1659,,,
