Estado,2016,2018,2020
Aguascalientes,35.20,30.99,35.10
Baja California,28.77,29.41,30.06
Baja California Sur,27.83,23.70,34.39
Campeche,54.46,56.28,59.64
Coahuila,32.17,31.32,30.70
Colima,39.75,38.29,34.47
Chiapas,84.28,84.54,82.69
Chihuahua,36.25,32.96,32.28
Ciudad de México,39.06,41.58,41.23
Durango,44.07,44.65,45.27
Guanajuato,46.21,47.34,48.24
Guerrero,74.24,74.96,74.62
Hidalgo,63.63,57.29,59.37
Jalisco,36.59,33.43,39.69
México,54.04,52.05,59.25
Michoacán,61.55,54.39,52.13
Morelos,56.48,57.33,60.92
Nayarit,44.36,43.24,37.16
Nuevo León,22.84,25.26,32.34
Oaxaca,74.46,70.24,68.35
Puebla,67.72,64.83,69.91
Querétaro,36.54,32.75,39.55
Quintana Roo,39.51,39.15,56.21
San Luis Potosí,50.73,47.59,48.64
Sinaloa,36.72,37.67,33.83
Sonora,33.05,33.66,37.81
Tabasco,62.80,62.28,62.73
Tamaulipas,37.44,41.38,40.90
Tlaxcala,61.60,56.82,65.79
Veracruz,68.68,67.89,67.96
Yucatán,53.27,52.28,55.81
Zacatecas,55.32,55.44,52.95
Estados Unidos Mexicanos,51.31,50.27,52.60
